Salt,Source,Source_Type,Temperature_C,Pressure_MPa,Molality_molkg,Conductivity_mScm,Notes,Replicate,Mixture,Conductivity_Ratio
NaCl,Pan2021,experimental,-2.15,615.0,0.1467594487521185,1.04,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,7.85,817.0,0.1429882197,7.24,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-5.15,615.0,0.1465755651343579,0.64,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,4.85,817.0,0.1428331647901122,3.3,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-8.15,615.0,0.1463929039450108,0.34,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,3.85,817.0,0.1427691565298783,2.27,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-10.15,615.0,0.1462718052813214,0.23,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,2.85,817.0,0.1427052860895857,1.84,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-12.15,615.0,0.1461512444441708,0.13,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,1.85,817.0,0.1426415531763391,1.37,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-10.15,615.0,0.1462718052813214,0.1,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-0.15,817.0,0.1425144987643392,0.71,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-8.15,615.0,0.1463929039450108,0.15,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-1.15,817.0,0.1424511766847211,0.52,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-5.15,615.0,0.1465755651343579,0.34,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-2.15,817.0,0.1423879909704114,0.38,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-3.15,615.0,0.1466980179267287,0.49,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-4.15,817.0,0.1422620274867168,0.23,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-0.15,615.0,0.146882720652949,0.8,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-5.15,817.0,0.1421992491442509,0.18,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,1.85,615.0,0.1470065414203872,1.08,molality via in-hull density interp from Pan completed rows,,False,
