Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
KCl,5.0,0.1,0.1,0.1000000000973093,0.1000000000973093,1.0000000009730934e-16,1.0000000009730934e-16,1.0000000009730954e-16,1.0000000009730934e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,0.10000005411001943,0.1
KCl,10.0,0.1,0.1,0.10000000012242635,0.10000000012242635,1.000000001224264e-16,1.000000001224264e-16,1.0000000012242659e-16,1.000000001224264e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,0.10000006807666288,0.1
KCl,25.0,0.1,0.1,0.10000000022822246,0.10000000022822246,1.000000002282225e-16,1.000000002282225e-16,1.000000002282225e-16,1.000000002282225e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,0.1000001269058817,0.1
KCl,35.0,0.1,0.1,0.10000000032927067,0.10000000032927067,1.0000000032927072e-16,1.0000000032927072e-16,1.0000000032927076e-16,1.0000000032927072e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,0.10000018309496707,0.1
KCl,45.0,0.1,0.1,0.10000000045923177,0.10000000045923177,1.0000000045923181e-16,1.0000000045923181e-16,1.0000000045923187e-16,1.0000000045923181e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,0.10000025536141885,0.1
KCl,70.0,0.1,0.1,0.10000000093000598,0.10000000093000598,1.0000000093000602e-16,1.0000000093000602e-16,1.0000000093000607e-16,1.0000000093000602e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,0.10000051714113989,0.1
KCl,90.0,0.1,0.1,0.10000000146801052,0.10000000146801052,1.0000000146801056e-16,1.0000000146801056e-16,1.0000000146801062e-16,1.0000000146801056e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,0.10000081630511626,0.1
KCl,5.0,0.5,0.1,0.5000000003854105,0.5000000003854105,1.0000000007708214e-16,1.0000000007708214e-16,1.000000000770821e-16,1.0000000007708214e-16,1.000000000770821e-16,1.000000000770821e-16,1.0000000007708214e-16,1.000000000770821e-16,1.000000000770821e-16,1.000000000770821e-16,1.000000000770821e-16,1.000000000770821e-16,1.000000000770821e-16,1.000000000770821e-16,0.5000000431707654,0.5
KCl,10.0,0.5,0.1,0.5000000006915564,0.5000000006915564,1.0000000013831131e-16,1.0000000013831131e-16,1.0000000013831151e-16,1.0000000013831131e-16,1.0000000013831126e-16,1.0000000013831126e-16,1.0000000013831126e-16,1.0000000013831126e-16,1.0000000013831126e-16,1.0000000013831126e-16,1.0000000013831126e-16,1.0000000013831126e-16,1.0000000013831126e-16,1.0000000013831126e-16,0.5000000774633059,0.5
KCl,25.0,0.5,0.1,0.5000000012922162,0.5000000012922162,1.000000002584433e-16,1.000000002584433e-16,1.000000002584433e-16,1.000000002584433e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,0.5000001447442992,0.5
KCl,35.0,0.5,0.1,0.5000000018677253,0.5000000018677253,1.0000000037354512e-16,1.0000000037354512e-16,1.0000000037354532e-16,1.0000000037354512e-16,1.0000000037354506e-16,1.0000000037354506e-16,1.0000000037354506e-16,1.0000000037354506e-16,1.0000000037354506e-16,1.0000000037354506e-16,1.0000000037354506e-16,1.0000000037354506e-16,1.0000000037354506e-16,1.0000000037354506e-16,0.5000002092088568,0.5
KCl,45.0,0.5,0.1,0.5000000026100854,0.5000000026100854,1.0000000052201713e-16,1.0000000052201713e-16,1.0000000052201733e-16,1.0000000052201713e-16,1.0000000052201709e-16,1.0000000052201709e-16,1.0000000052201709e-16,1.0000000052201709e-16,1.0000000052201709e-16,1.0000000052201709e-16,1.0000000052201709e-16,1.0000000052201709e-16,1.0000000052201709e-16,1.0000000052201709e-16,0.5000002923624152,0.5
KCl,70.0,0.5,0.1,0.5000000053161835,0.5000000053161835,1.0000000106323673e-16,1.0000000106323673e-16,1.0000000106323669e-16,1.0000000106323673e-16,1.0000000106323669e-16,1.0000000106323669e-16,1.000000010632368e-16,1.0000000106323669e-16,1.0000000106323669e-16,1.0000000106323669e-16,1.0000000106323669e-16,1.0000000106323669e-16,1.0000000106323669e-16,1.0000000106323669e-16,0.5000005954786434,0.5
KCl,90.0,0.5,0.1,0.5000000084368069,0.5000000084368069,1.0000000168736144e-16,1.0000000168736144e-16,1.0000000168736141e-16,1.0000000168736144e-16,1.0000000168736141e-16,1.0000000168736141e-16,1.0000000168736144e-16,1.0000000168736141e-16,1.0000000168736141e-16,1.0000000168736141e-16,1.0000000168736141e-16,1.0000000168736141e-16,1.0000000168736141e-16,1.0000000168736141e-16,0.500000945027274,0.5
KCl,5.0,1.0,0.1,1.0000000011529124,1.0000000011529124,1.000000001152913e-16,1.000000001152913e-16,1.0000000011529148e-16,1.000000001152913e-16,1.0000000011529124e-16,1.0000000011529124e-16,1.0000000011529124e-16,1.0000000011529124e-16,1.0000000011529124e-16,1.0000000011529124e-16,1.0000000011529124e-16,1.0000000011529124e-16,1.0000000011529124e-16,1.0000000011529124e-16,1.0000000651471241,1.0
KCl,10.0,1.0,0.1,1.000000000959678,1.000000000959678,1.0000000009596784e-16,1.0000000009596784e-16,1.0000000009596779e-16,1.0000000009596784e-16,1.0000000009596779e-16,1.0000000009596779e-16,1.0000000009596784e-16,1.0000000009596779e-16,1.0000000009596779e-16,1.0000000009596779e-16,1.0000000009596779e-16,1.0000000009596779e-16,1.0000000009596779e-16,1.0000000009596779e-16,1.0000000542277696,1.0
KCl,25.0,1.0,0.1,1.000000002715495,1.000000002715495,1.0000000027154955e-16,1.0000000027154955e-16,1.0000000027154975e-16,1.0000000027154955e-16,1.000000002715495e-16,1.000000002715495e-16,1.000000002715495e-16,1.000000002715495e-16,1.000000002715495e-16,1.000000002715495e-16,1.000000002715495e-16,1.000000002715495e-16,1.000000002715495e-16,1.000000002715495e-16,1.0000001534427418,1.0
KCl,35.0,1.0,0.1,1.0000000039277646,1.0000000039277648,1.0000000039277652e-16,1.0000000039277652e-16,1.0000000039277647e-16,1.0000000039277652e-16,1.0000000039277647e-16,1.0000000039277647e-16,1.000000003927766e-16,1.0000000039277647e-16,1.0000000039277647e-16,1.0000000039277647e-16,1.0000000039277647e-16,1.0000000039277647e-16,1.0000000039277647e-16,1.0000000039277647e-16,1.000000221943126,1.0
KCl,45.0,1.0,0.1,1.0000000054933416,1.0000000054933418,1.0000000054933422e-16,1.0000000054933422e-16,1.0000000054933417e-16,1.0000000054933422e-16,1.0000000054933417e-16,1.0000000054933417e-16,1.0000000054933422e-16,1.0000000054933417e-16,1.0000000054933417e-16,1.0000000054933417e-16,1.0000000054933417e-16,1.0000000054933417e-16,1.0000000054933417e-16,1.0000000054933417e-16,1.0000003104079591,1.0
KCl,70.0,1.0,0.1,1.000000011214863,1.0000000112148633,1.0000000112148636e-16,1.0000000112148636e-16,1.0000000112148631e-16,1.0000000112148636e-16,1.0000000112148631e-16,1.0000000112148631e-16,1.0000000112148642e-16,1.0000000112148631e-16,1.0000000112148631e-16,1.0000000112148631e-16,1.0000000112148631e-16,1.0000000112148631e-16,1.0000000112148631e-16,1.0000000112148631e-16,1.000000633709488,1.0
KCl,90.0,1.0,0.1,1.0000000178370332,1.0000000178370334,1.0000000178370337e-16,1.0000000178370337e-16,1.0000000178370333e-16,1.0000000178370337e-16,1.0000000178370333e-16,1.0000000178370333e-16,1.0000000178370342e-16,1.0000000178370333e-16,1.0000000178370333e-16,1.0000000178370333e-16,1.0000000178370333e-16,1.0000000178370333e-16,1.0000000178370333e-16,1.0000000178370333e-16,1.0000010079032653,1.0
NaCl,5.0,0.000104,0.1,1.000000000786691e-16,0.00010400000008181585,0.00010400000008181585,1.0000000007866915e-16,1.0000000007866934e-16,1.0000000007866915e-16,1.000000000786691e-16,1.000000000786691e-16,1.000000000786691e-16,1.000000000786691e-16,1.000000000786691e-16,1.000000000786691e-16,1.000000000786691e-16,1.000000000786691e-16,1.000000000786691e-16,1.000000000786691e-16,0.00010404366632172172,0.000104
NaCl,10.0,0.000104,0.1,1.0000000009883813e-16,0.00010400000010279164,0.00010400000010279164,1.0000000009883817e-16,1.0000000009883837e-16,1.0000000009883817e-16,1.0000000009883813e-16,1.0000000009883813e-16,1.0000000009883813e-16,1.0000000009883813e-16,1.0000000009883813e-16,1.0000000009883813e-16,1.0000000009883813e-16,1.0000000009883813e-16,1.0000000009883813e-16,1.0000000009883813e-16,0.0001040548614097749,0.000104
NaCl,25.0,0.000104,0.1,1.0000000018339044e-16,0.00010400000019072605,0.00010400000019072605,1.000000001833905e-16,1.0000000018339068e-16,1.000000001833905e-16,1.0000000018339044e-16,1.0000000018339044e-16,1.0000000018339044e-16,1.0000000018339044e-16,1.0000000018339044e-16,1.0000000018339044e-16,1.0000000018339044e-16,1.0000000018339044e-16,1.0000000018339044e-16,1.0000000018339044e-16,0.00010410179328983347,0.000104
NaCl,35.0,0.000104,0.1,1.0000000026365107e-16,0.00010400000027419711,0.00010400000027419711,1.0000000026365112e-16,1.0000000026365112e-16,1.0000000026365112e-16,1.0000000026365107e-16,1.0000000026365107e-16,1.0000000026365107e-16,1.0000000026365107e-16,1.0000000026365107e-16,1.0000000026365107e-16,1.0000000026365107e-16,1.0000000026365107e-16,1.0000000026365107e-16,1.0000000026365107e-16,0.00010414634301248184,0.000104
NaCl,45.0,0.000104,0.1,1.0000000036628537e-16,0.0001040000003809368,0.0001040000003809368,1.0000000036628545e-16,1.0000000036628563e-16,1.0000000036628545e-16,1.0000000036628537e-16,1.0000000036628537e-16,1.0000000036628537e-16,1.0000000036628537e-16,1.0000000036628537e-16,1.0000000036628537e-16,1.0000000036628537e-16,1.0000000036628537e-16,1.0000000036628537e-16,1.0000000036628537e-16,0.00010420331154810501,0.000104
NaCl,70.0,0.000104,0.1,1.0000000073352321e-16,0.00010400000076286413,0.00010400000076286413,1.0000000073352326e-16,1.000000007335233e-16,1.0000000073352326e-16,1.0000000073352321e-16,1.0000000073352321e-16,1.0000000073352321e-16,1.0000000073352321e-16,1.0000000073352321e-16,1.0000000073352321e-16,1.0000000073352321e-16,1.0000000073352321e-16,1.0000000073352321e-16,1.0000000073352321e-16,0.00010440715174435912,0.000104
NaCl,90.0,0.000104,0.1,1.0000000114579161e-16,0.00010400000119162326,0.00010400000119162326,1.0000000114579166e-16,1.0000000114579176e-16,1.0000000114579166e-16,1.0000000114579161e-16,1.0000000114579161e-16,1.0000000114579161e-16,1.0000000114579161e-16,1.0000000114579161e-16,1.0000000114579161e-16,1.0000000114579161e-16,1.0000000114579161e-16,1.0000000114579161e-16,1.0000000114579161e-16,0.00010463598676414738,0.000104
NaCl,5.0,0.00099,0.1,1.0000000008044233e-16,0.000990000000796379,0.000990000000796379,1.0000000008044238e-16,1.0000000008044238e-16,1.0000000008044238e-16,1.0000000008044233e-16,1.0000000008044233e-16,1.0000000008044233e-16,1.0000000008044233e-16,1.0000000008044233e-16,1.0000000008044233e-16,1.0000000008044233e-16,1.0000000008044233e-16,1.0000000008044233e-16,1.0000000008044233e-16,0.0009900446512872295,0.00099
NaCl,10.0,0.00099,0.1,1.0000000010108202e-16,0.0009900000010007119,0.0009900000010007119,1.0000000010108206e-16,1.0000000010108226e-16,1.0000000010108206e-16,1.0000000010108202e-16,1.0000000010108202e-16,1.0000000010108202e-16,1.0000000010108202e-16,1.0000000010108202e-16,1.0000000010108202e-16,1.0000000010108202e-16,1.0000000010108202e-16,1.0000000010108202e-16,1.0000000010108202e-16,0.00099005610781519,0.00099
NaCl,25.0,0.00099,0.1,1.000000001876541e-16,0.0009900000018577756,0.0009900000018577756,1.0000000018765414e-16,1.0000000018765435e-16,1.0000000018765414e-16,1.000000001876541e-16,1.000000001876541e-16,1.000000001876541e-16,1.000000001876541e-16,1.000000001876541e-16,1.000000001876541e-16,1.000000001876541e-16,1.000000001876541e-16,1.000000001876541e-16,1.000000001876541e-16,0.0009901041615459547,0.00099
NaCl,35.0,0.00099,0.1,1.0000000026988944e-16,0.0009900000026719054,0.0009900000026719054,1.000000002698895e-16,1.000000002698895e-16,1.000000002698895e-16,1.0000000026988944e-16,1.0000000026988944e-16,1.0000000026988944e-16,1.0000000026988944e-16,1.0000000026988944e-16,1.0000000026988944e-16,1.0000000026988944e-16,1.0000000026988944e-16,1.0000000026988944e-16,1.0000000026988944e-16,0.0009901498080992846,0.00099
NaCl,45.0,0.00099,0.1,1.0000000037511741e-16,0.0009900000037136622,0.0009900000037136622,1.0000000037511745e-16,1.0000000037511745e-16,1.0000000037511745e-16,1.0000000037511741e-16,1.0000000037511741e-16,1.0000000037511741e-16,1.0000000037511741e-16,1.0000000037511741e-16,1.0000000037511741e-16,1.0000000037511741e-16,1.0000000037511741e-16,1.0000000037511741e-16,1.0000000037511741e-16,0.000990208217191997,0.00099
NaCl,70.0,0.00099,0.1,1.0000000075216032e-16,0.0009900000074463873,0.0009900000074463873,1.0000000075216037e-16,1.0000000075216055e-16,1.0000000075216037e-16,1.0000000075216032e-16,1.0000000075216032e-16,1.0000000075216032e-16,1.0000000075216032e-16,1.0000000075216032e-16,1.0000000075216032e-16,1.0000000075216032e-16,1.0000000075216032e-16,1.0000000075216032e-16,1.0000000075216032e-16,0.0009904175031903105,0.00099
NaCl,90.0,0.00099,0.1,1.0000000117629383e-16,0.0009900000116453088,0.0009900000116453088,1.0000000117629388e-16,1.0000000117629388e-16,1.0000000117629388e-16,1.0000000117629383e-16,1.0000000117629383e-16,1.0000000117629383e-16,1.0000000117629383e-16,1.0000000117629383e-16,1.0000000117629383e-16,1.0000000117629383e-16,1.0000000117629383e-16,1.0000000117629383e-16,1.0000000117629383e-16,0.0009906529278461984,0.00099
NaCl,5.0,0.01,0.1,1.0000000008552476e-16,0.010000000008552477,0.010000000008552477,1.0000000008552481e-16,1.00000000085525e-16,1.0000000008552481e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,0.010000047480111813,0.01
NaCl,10.0,0.01,0.1,1.0000000010751353e-16,0.010000000010751353,0.010000000010751353,1.0000000010751359e-16,1.0000000010751359e-16,1.0000000010751359e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,0.01000005968744525,0.01
