Salt,Temperature_C,Molality_molkg,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
KCl,10.0,1.0,1.0000000014518944,1.0000000014518944,1.0000000014518944e-16,1.0000000014518944e-16,1.0000000014518953e-16,1.0000000014518944e-16,1.0000000014518944e-16,1.0000000014518944e-16,1.000000082041054,1.0
KCl,25.0,1.0,1.000000002715502,1.000000002715502,1.000000002715502e-16,1.000000002715502e-16,1.0000000027155034e-16,1.000000002715502e-16,1.000000002715502e-16,1.000000002715502e-16,1.000000153442749,1.0
KCl,35.0,1.0,1.0000000039277646,1.0000000039277648,1.0000000039277647e-16,1.0000000039277647e-16,1.0000000039277647e-16,1.0000000039277671e-16,1.0000000039277647e-16,1.0000000039277647e-16,1.0000002219431257,1.0
KCl,45.0,1.0,1.0000000054933416,1.0000000054933418,1.0000000054933417e-16,1.0000000054933417e-16,1.0000000054933417e-16,1.0000000054933442e-16,1.0000000054933417e-16,1.0000000054933417e-16,1.000000310407959,1.0
KCl,70.0,1.0,1.000000011214863,1.0000000112148633,1.0000000112148631e-16,1.0000000112148631e-16,1.0000000112148631e-16,1.0000000112148636e-16,1.0000000112148631e-16,1.0000000112148631e-16,1.0000006337094876,1.0
KCl,90.0,1.0,1.0000000178370332,1.0000000178370334,1.0000000178370333e-16,1.0000000178370333e-16,1.0000000178370333e-16,1.0000000178370337e-16,1.0000000178370333e-16,1.0000000178370333e-16,1.000001007903265,1.0
NaCl,5.0,0.000104,1.000000000786691e-16,0.00010400000008181585,0.00010400000008181585,1.000000000786691e-16,1.0000000007866919e-16,1.000000000786691e-16,1.000000000786691e-16,1.000000000786691e-16,0.00010404366632112171,0.000104
NaCl,10.0,0.000104,1.0000000009883813e-16,0.00010400000010279164,0.00010400000010279164,1.0000000009883813e-16,1.0000000009883817e-16,1.0000000009883813e-16,1.0000000009883813e-16,1.0000000009883813e-16,0.00010405486140917488,0.000104
NaCl,25.0,0.000104,1.0000000018339044e-16,0.00010400000019072605,0.00010400000019072605,1.0000000018339044e-16,1.0000000018339068e-16,1.0000000018339044e-16,1.0000000018339044e-16,1.0000000018339044e-16,0.00010410179328923345,0.000104
NaCl,35.0,0.000104,1.0000000026365107e-16,0.00010400000027419711,0.00010400000027419711,1.0000000026365107e-16,1.0000000026365112e-16,1.0000000026365107e-16,1.0000000026365107e-16,1.0000000026365107e-16,0.00010414634301188183,0.000104
